Site,Level,Area,LOT,,ID,RawMaterial,ChertType,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes
LP,,,,D4,54,Quartz,,Fine,BlankFrag,,,Proximal,0%,,,Winged,No,No,,,,,2,,2.33,0,0,0,0,0,2.47,8.85,97.5,0.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,,,,A5,286,Other,,,Manuport,,,,100%,,Cobble,,No,No,,,,,0,,6.08,0,0,0,0,0,0,0,0,6.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,,,0,
LP,,,,C4,166,Quartz,,RockCrystal,Blank,,,,0%,,,Crushed,No,No,Convergent,Triangular,Feather,Curved,2,Unidirectional,2.19,4.55,4.1,4.42,1.72,9.24,1.44,3.76,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,,,,C4,166,Quartz,,RockCrystal,Blank,,,,0%,,,Crushed,No,No,Convergent,Triangular,Feather,Curved,2,Unidirectional,2.36,6.82,6.32,6.73,3.34,14.61,2.1,4.93,102.1,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,,,,C4,166,Quartz,,RockCrystal,Blank,,,,0%,,,Plain,No,No,Parallel,Triangular,Feather,Straight,2,Unidirectional,2.47,6.3,3,6.46,3.53,17.04,1.69,2.47,103.5,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,,,,C4,139,Chert,RM3,,BlankFrag,,,Distal,0%,,,,No,No,,Triangular,Feather,,2,,1.84,9.77,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
LP,,,,A5,256,Quartz,,RockCrystal,Blank,,,,0%,,,Plain,No,No,Divergent,Lenticular,Step,Straight,2,Unidirectional,2.06,7.42,3.64,6.57,7.34,12.81,1.62,3.53,95.5,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,,,,B4,154,Quartz,,Fine,Blank,,,,0%,,,Plain,No,No,Parallel,Trapezoidal,Feather,Straight,3,Unidirectional,2.82,10.15,6.98,9.56,7.6,19.04,2.28,7.29,84,1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
LP,,,,C4,184,Quartz,,RockCrystal,Blank,,,,1-30%,Proximal,Indeterminate,Plain,YesComplete,No,Convergent,Triangular,Hinge,Straight,3,Unidirectional,13.18,19.17,11.86,18.2,6.1,38.95,10.74,4.95,113.8,7.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
LP,,,,B4,64,Other,,,Shatter,,,,0%,,,,No,No,,,,,0,,0,0,0,0,0,0,0,0,0,0.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,,,0,Quartzite
LP,,,,C5,2180,Quartz,,Fine,Chip,,,,,,,,No,No,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,,,3,
LP,,,,C5,2180,Quartz,,Medium,Shatter,,,,0%,,,,No,No,,,,,0,,0,0,0,0,0,0,0,0,0,0.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,,,0,
