Site,Level,Lab. Ref,Age (BP),SD,Sample type,Curve
LP,T,Wk-37655c,18960,80,Bone,intcal13
LP,T,UGAMS-23727,19530,50,Charcoal,intcal13
LP,T,UGAMS-23718,20240,50,Charcoal,intcal13
LP,T,Beta-208221e,20240,110,Charcoal,intcal13
LP,T,UGAMS-23725,20320,50,Charcoal,intcal13
Vale Boi,5,Wk-42831,20329,90,Shell,marine13
Alecrim,6,Beta-203513,20510,150,Bone,intcal13
LP,T,UGAMS-23726,20530,50,Charcoal,intcal13
LP,T,UGAMS-23722,20630,60,Charcoal,intcal13
LP,T,Beta-229781e,20700,100,Bone,intcal13
LP,T,UGAMS-23721,20710,60,Charcoal,intcal13
Vale Boi,5,Wk-42830,20818,107,Charcoal,intcal13
CPM III Inferior,,ICEN-541,21080,850,Charcoal,intcal13
Lagar Velho,6,OxA-8420,21180,240,Charcoal,intcal13
Lagar Velho,6,Sac-1561,21380,810,Bone,intcal13
Anecrial,2b,ICEN-964,21560,680,Charcoal,intcal13
Anecrial,2b,OxA-5526,21560,220,Charcoal,intcal13
Terra do Manuel,2s,EHT-6038,21770,210,Charcoal,intcal13
Alecrim,6,Wk-25514,21794,170,Bone,intcal13
Buraca Escura,2e,OxA-5524,21820,200,Bone,intcal13
Lagar Velho,6,OxA-8418,22180,180,Charcoal,intcal13
Vale Boi,5,Wk-44416,22358,80,Shell,marine13
LP,U,Beta-234373e,22560,110,Charcoal,intcal13
LP,U,Beta-234374e,22590,110,Charcoal,intcal13
LP,U,Beta-208222e,22660,240,Charcoal,intcal13
LP,T,Wk-37656,23100,130,Charcoal,intcal13
