Site,Level,Area,LOT,UNIT,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes,ValeComprido
VB,,T,,I19,2440,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Triangular,Step,Straight,4,Unidirectional,9.9,23.48,15.94,21.53,16.34,60.78,5.49,11.55,90.4,16,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,H20,2834,Greywacke,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Pointed,Straight,3,Unidirectional,6.93,24.09,18.89,21.22,4.57,50.74,5.66,11.25,91.1,8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,K21,305,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Step,Curved,5,Unidirectional,3.08,13.52,7.02,11.87,4.91,24.6,2.79,8.24,82.3,0.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,K19,3661,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Feather,Straight,5,Unidirectional,10.14,27.68,24.48,29.21,9.81,42.95,8.98,23.35,81.5,13,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,K21,2636,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Triangular,Pointed,Straight,3,Unidirectional,7.21,18.75,15.66,17.07,4.7,35.82,6.47,13.44,100.1,5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,L20,2294,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Pointed,Straight,3,Unidirectional,7.77,21.42,15.42,20.31,6.09,43.61,5.94,14.52,79.2,8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,H18,2622,Chalcedony,,RetouchedPiece,,Blank,,0%,,,Crushed,No,No,Convergent,Trapezoidal,Pointed,Straight,5,Unidirectional,6.03,15.87,10.65,16.04,5.2,32.19,3.44,10.43,0,3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,J19,76,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Feather,Straight,3,Unidirectional,6.67,24.14,18.62,22.64,11.15,42.76,7.74,14.29,71.4,8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,I18,2186,Dolerite,,RetouchedPiece,,Blank,,0%,,,Crushed,No,No,Convergent,Triangular,Pointed,Straight,4,Unidirectional,4.42,17.78,15.02,16.03,4.78,43.44,3.8,9.96,0,3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,T07,2387,Chert,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Triangular,Pointed,Straight,3,Unidirectional,6.17,18,10.94,15.83,4.57,27.82,4.2,10.03,90.1,2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,T08,3737,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Hinge,Straight,5,Unidirectional,6.55,19.21,15,19.99,14.2,41.26,5.12,14.42,77.6,7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
