RECNO,UNIT,ID,SUFFIX,PRISM,X,Y,Z,Depth,EXCAVATOR,LEVEL,SPIT,FEATURE,CODE,TIME,DATE,NOTES,YEAR
1115,C8,289,0,0,4999.387,5009.821,566.778,-4.705,KATKA,T,4, ,LITHIC,01/01/2000 00:01,02/07/2015 00:01,CHERT,2015
2267,B8,132,0,0,4999.523,5010.3,567.08,-4.403,MALLORY,T,1, ,LITHIC,01/01/2000 22:06,07/07/2015 22:06, ,2015
3396,B10,80,0,0,5001.01,5010.783,567.179,-4.304,GRACE,T,2, ,LITHIC,01/01/2000 02:10,13/07/2015 02:10,CHERT FLAKE,2015
3501,B9,36,0,0,5000.937,5010.515,567.104,-4.379,GRACE,T,2,HEARTH LVL T,LITHIC,01/01/2000 04:03,13/07/2015 04:03,CHERT  FLAKE,2015
3862,B8,409,0,0,4999.928,5010.798,566.969,-4.514,MELISSA,T,5,HEARTH LVL T,LITHIC,01/01/2000 02:46,14/07/2015 02:46,QUARTZ,2015
4071,B8,442,0,0,4999.181,5010.183,566.818,-4.665,MELISSA,T,5, ,LITHIC,01/01/2000 22:33,14/07/2015 22:33,QUARTZ FLAKE,2015
4405,B8,542,0,0,4999.281,5010.342,566.735,-4.748,GRACE,T,6, ,LITHIC,01/01/2000 04:51,15/07/2015 04:51,QUARTZ FLAKE,2015
4625,C9,140,0,0,5000.134,5009.542,566.566,-4.917,JONATHAN,U,2, ,LITHIC,01/01/2000 23:41,15/07/2015 23:41,PEBBLE,2015
5345,A11,106,0,0,5002.091,5011.076,567.286,-4.197,STANA,T,1, ,LITHIC,01/01/2000 23:41,19/07/2015 23:41,CHERT,2015
5588,A10,214,0,0,5001.257,5011.079,567.102,-4.381,STANA,T,2, ,LITHIC,01/01/2000 03:45,20/07/2015 03:45,CHERT,2015
7364,B9,320,0,0,5000.82,5010.098,566.519,-4.964,CASSIE,U,1, ,LITHIC,01/01/2000 22:00,22/07/2015 22:00,QUARTZ WEDGE,2015
7474,A10,234,0,0,5001.371,5011.483,566.882,-4.601,GRACE,T,6, ,LITHIC,01/01/2000 22:48,22/07/2015 22:48,CHERT FLAKE ,2015
8409,ZZ9,193,0,0,5000.377,5012.898,567.147,-4.336,PETRA,T,1, ,LITHIC,01/01/2000 00:33,24/07/2015 00:33,QUARTZITE FLAKE ,2015
8426,ZZ9,195,0,0,5000.73,5012.375,567.143,-4.34,PETRA,T,2, ,LITHIC,01/01/2000 00:44,24/07/2015 00:44,CHERT FLAKE ,2015
8550,ZZ9,210,0,0,5000.422,5012.218,567.141,-4.342,PETRA,T,2, ,LITHIC,01/01/2000 02:23,24/07/2015 02:23,CHERT,2015
8907,A9,307,0,0,5000.125,5011.915,567.159,-4.324,PETRA,T,2, ,LITHIC,01/01/2000 21:23,26/07/2015 21:23,CHERT FLAKE ,2015
9178,B10,133,0,0,5001.49,5010.417,566.628,-4.855,BRANDON,U,1, ,LITHIC,01/01/2000 23:15,26/07/2015 23:15,QUARTZ ,2015
9311,ZZ11,521,0,0,5002.611,5012.39,567.041,-4.442,ILONA,T,2, ,LITHIC,01/01/2000 00:05,27/07/2015 00:05,CHERT FLAKE ,2015
9360,ZZ9,320,0,0,5000.968,5012.395,567.039,-4.444,PETRA,T,2, ,LITHIC,01/01/2000 00:28,27/07/2015 00:28,SPECIAL NOTE,2015
9379,YY11,350,0,0,5002.274,5013.282,567.097,-4.386,ILONA,T,2, ,LITHIC,01/01/2000 00:48,27/07/2015 00:48,SPECIAL NOTE,2015
9426,ZZ11,560,0,0,5002.394,5012.635,567.033,-4.45,ILONA,T,2, ,LITHIC,01/01/2000 02:00,27/07/2015 02:00,CHERT FLAKE ,2015
9583,ZZ10,456,0,0,5001.988,5012.31,567.061,-4.422,MIKE,T,2, ,LITHIC,01/01/2000 03:18,27/07/2015 03:18,CHERT,2015
9840,ZZ11,595,0,0,5002.196,5012.457,567.003,-4.48,MIKE,T,3, ,LITHIC,01/01/2000 22:31,27/07/2015 22:31,CHERT ,2015
9920,ZZ9,392,0,0,5000.59,5012.579,567,-4.483,STANA,T,3, ,LITHIC,01/01/2000 23:07,27/07/2015 23:07,QUARTZITE,2015
9937,ZZ11,603,0,0,5002.116,5012.58,567.042,-4.441,MIKE,T,3, ,LITHIC,01/01/2000 23:18,27/07/2015 23:18,CHERT,2015
9938,ZZ11,604,0,0,5002.201,5012.575,567.02,-4.463,MIKE,T,3, ,LITHIC,01/01/2000 23:19,27/07/2015 23:19,CHERT ,2015
9939,ZZ11,605,0,0,5002.227,5012.569,567.02,-4.463,MIKE,T,3, ,LITHIC,01/01/2000 23:19,27/07/2015 23:19,CHERT,2015
9940,ZZ11,606,0,0,5002.367,5012.569,567.027,-4.456,MIKE,T,3, ,LITHIC,01/01/2000 23:20,27/07/2015 23:20,CHERT,2015
10077,ZZ11,646,0,0,5002.521,5012.713,567.004,-4.479,MIKE,T,3, ,LITHIC,01/01/2000 00:34,28/07/2015 00:34,CHERT ,2015
10106,ZZ11,657,0,0,5002.403,5012.535,566.971,-4.512,ILONA,T,3, ,LITHIC,01/01/2000 00:50,28/07/2015 00:50,CHERT,2015
10144,ZZ11,666,0,0,5002.217,5012.57,567.002,-4.481,ILONA,T,3, ,LITHIC,01/01/2000 02:02,28/07/2015 02:02,CHERT CORE,2015
